127.0.0.1 - - [11/Mar/2024:18:55:15 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:15 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:16 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:22 +0630] "POST /University/login HTTP/1.1" 200 159
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:55 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:55 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7737
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:55:55 +0630] "GET /University/AdminLTE/loginAndregister/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:04 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 7067
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:04 +0630] "GET /University/AdminLTE/PageCreate/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:50 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8602
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:50 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:56:50 +0630] "GET /University/AdminLTE/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:58:27 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5751
0:0:0:0:0:0:0:1 - - [11/Mar/2024:18:58:43 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5751
