0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:35:14 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:35:14 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:35:19 +0630] "GET /University/AdminLTE/User/example.jsp?id=134 HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:44 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 7108
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:44 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:44 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:50 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:50 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:50 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:39:56 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 500 3005
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:44:06 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 500 2646
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:45:21 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:45:21 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:45:21 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:47:05 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 500 2660
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:47:29 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 500 2605
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:02 +0630] "GET /University/AdminLTE/User/userHome.jsp?id=113 HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:02 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:02 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:11 +0630] "GET /University/AdminLTE/User/example.jsp?id=134 HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:24 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7778
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:24 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:24 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:28 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:28 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:28 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:33 +0630] "GET /University/AdminLTE/User/example1.jsp HTTP/1.1" 500 2605
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:39 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 5586
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:39 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:48:39 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:18 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 7201
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:18 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:18 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:58 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 6730
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:58 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:49:58 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:42 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7778
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:43 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:43 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:48 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 7108
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:48 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:48 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:50:57 +0630] "GET /University/AdminLTE/User/example.jsp?id=134 HTTP/1.1" 200 2413
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:01 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7778
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:01 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:01 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:04 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:04 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:04 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:11 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 5888
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:11 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:11 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:34 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 5855
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:34 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:14:56:34 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:18 +0630] "GET /University/AdminLTE/User/example1.jsp?id=134 HTTP/1.1" 200 5777
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:18 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 200 47830
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:22 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 9801
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:30 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:35 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:35 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7737
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:35 +0630] "GET /University/AdminLTE/loginAndregister/logo.jpg HTTP/1.1" 200 47830
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:41 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5270
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:41 +0630] "GET /University/AdminLTE/dist/img/user2-160x160.jpg HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:00:41 +0630] "GET /University/AdminLTE/dist/img/AdminLTELogo.png HTTP/1.1" 404 812
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:01:10 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5229
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:01:10 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:02:06 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8703
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:02:06 +0630] "GET /University/AdminLTE/User/ULogo.jpg HTTP/1.1" 404 797
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:02:44 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8668
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:02:44 +0630] "GET /University/AdminLTE/User/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Mar/2024:15:03:08 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 8635
