127.0.0.1 - - [19/Feb/2024:14:29:02 +0630] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:29:31 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 2092
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:29:32 +0630] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:29:48 +0630] "POST /University/LoginServlet HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:29:54 +0630] "POST /University/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:29:54 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7785
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:30:03 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8356
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:30:20 +0630] "GET /University/AdminLTE/PageCreate/add.jsp HTTP/1.1" 200 2617
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:22 +0630] "POST /University/pageInsert HTTP/1.1" 200 142
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:26 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8875
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:35 +0630] "GET /University/AdminLTE/loginAndregister/add.jsp?id=98 HTTP/1.1" 200 2496
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:41 +0630] "POST /University/InsertUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:41 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 8106
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:51 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 5547
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:31:51 +0630] "GET /University/AdminLTE/dist/js/demo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Feb/2024:14:32:01 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11336
