0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:33:10 +0630] "GET /University/AdminLTE/User/example.jsp?id=105 HTTP/1.1" 200 6094
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:33:30 +0630] "GET /University/AdminLTE/User/example.jsp?id=105 HTTP/1.1" 200 6080
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:34:39 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:14 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=%E1%80%94&lsearch=&msearch= HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:19 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=%E1%80%94&lsearch=&msearch= HTTP/1.1" 200 10955
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:22 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=&lsearch=%E1%80%94&msearch= HTTP/1.1" 200 10976
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:25 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=&lsearch=%E1%80%99&msearch= HTTP/1.1" 200 9186
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:30 +0630] "GET /University/AdminLTE/User/example.jsp?id=102 HTTP/1.1" 200 10939
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:38 +0630] "GET /University/AdminLTE/User/example.jsp?id=105 HTTP/1.1" 200 6080
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:35:53 +0630] "GET /University/AdminLTE/User/example.jsp?id=105 HTTP/1.1" 200 6080
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:36:12 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:36:19 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:36:19 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:37:22 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:37:28 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:09 +0630] "GET /University/AdminLTE/PageCreate/edit.jsp?id=105 HTTP/1.1" 200 7062
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:19 +0630] "GET /University/AdminLTE/loginAndregister/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:19 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:35 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:35 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:41 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:41 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:49 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:38:49 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:40:57 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:41:10 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp?search=300 HTTP/1.1" 200 6203
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:41:17 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp?search=200 HTTP/1.1" 200 6203
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:41:21 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp?search=340 HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:41:42 +0630] "GET /University/AdminLTE/User/userHome.jsp HTTP/1.1" 200 6159
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:41:49 +0630] "GET /University/AdminLTE/User/three.jsp HTTP/1.1" 200 11485
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:42:04 +0630] "GET /University/AdminLTE/User/three.jsp?unisearch=%E1%80%80%E1%80%BD%E1%80%94%E1%80%BA%E1%80%95%E1%80%BC%E1%80%B0%E1%80%90%E1%80%AC&lsearch=%E1%80%90%E1%80%B1%E1%80%AC%E1%80%84%E1%80%BA%E1%80%84%E1%80%B0&msearch=410 HTTP/1.1" 200 10425
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:42:08 +0630] "GET /University/AdminLTE/User/example.jsp?id=106 HTTP/1.1" 200 5538
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:42:55 +0630] "GET /University/AdminLTE/loginAndregister/login.jsp HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:43:01 +0630] "POST /University/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:43:01 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7839
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:43:06 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:43:09 +0630] "GET /University/AdminLTE/PageCreate/edit.jsp?id=102 HTTP/1.1" 200 11921
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:44:37 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:44:39 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:44:39 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8892
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:45:08 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8880
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:45:18 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7827
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:49:44 +0630] "GET /University/AdminLTE/loginAndregister/home.jsp HTTP/1.1" 200 7889
0:0:0:0:0:0:0:1 - - [26/Feb/2024:09:49:49 +0630] "GET /University/AdminLTE/PageCreate/home.jsp HTTP/1.1" 200 8880
